Date,Day,Month,DayOfWeek,Weekday,Binds Volume,Daily EV Avg,MTD EV,HC,OutBound Leads
10/7/2014,7,10,2,Tue,233,264.676276,256.1613442,151,7318
10/8/2014,8,10,3,Wed,215,236.4488203,253.7086864,143,7714
10/9/2014,9,10,4,Thur,247,256.5438543,254.0632619,151,7253
10/10/2014,10,10,5,Fri,327,262.6280442,255.2798926,146,7269
10/13/2014,13,10,1,Mon,184,267.9786587,255.9164615,132,7642
10/14/2014,14,10,2,Tue,224,271.5267271,257.1898408,139,7719
10/15/2014,15,10,3,Wed,253,251.4153796,256.7026988,143,7794
10/16/2014,16,10,4,Thur,234,249.0937854,256.1519763,140,7489
10/17/2014,17,10,5,Fri,315,259.9480229,256.4889985,130,7153
10/20/2014,20,10,1,Mon,239,243.4084378,255.6677484,142,7258
10/21/2014,21,10,2,Tue,213,241.0113419,254.9007178,138,7139
10/22/2014,22,10,3,Wed,218,259.5065062,255.134874,137,7169
10/23/2014,23,10,4,Thur,267,270.6883995,256.0465735,142,7191
10/24/2014,24,10,5,Fri,353,258.8817943,256.2504922,136,7280
10/27/2014,27,10,1,Mon,222,257.3231103,256.4591706,134,7448
10/28/2014,28,10,2,Tue,217,289.8956956,257.7981125,130,7237
10/29/2014,29,10,3,Wed,207,274.9059587,258.4275693,133,7188
10/30/2014,30,10,4,Thur,274,239.9523281,257.5695666,138,7396
10/31/2014,31,10,5,Fri,429,239.3218506,256.3326776,128,7273
11/3/2014,3,11,1,Mon,325,227.9788751,227.5956644,127,7445
11/4/2014,4,11,2,Tue,301,240.5895983,233.8335816,135,7231
11/5/2014,5,11,3,Wed,267,249.2916201,238.4502441,131,7271
11/6/2014,6,11,4,Thur,291,262.6809842,244.4005777,137,7246
11/7/2014,7,11,5,Fri,333,240.3989104,243.5227416,134,7393
11/10/2014,10,11,1,Mon,246,223.4504962,240.9589296,128,7404
11/12/2014,12,11,3,Wed,227,249.0246005,244.429652,127,7180
11/11/2014,11,11,2,Tue,239,266.1611787,243.9173469,130,7222
11/13/2014,13,11,4,Thur,253,227.8425013,242.7617072,130,7604
11/14/2014,14,11,5,Fri,315,213.956231,243.3268007,134,7715
11/17/2014,17,11,1,Mon,287,243.0964793,242.9409506,127,7681
11/18/2014,18,11,2,Tue,187,284.4050787,245.1916885,131,7560
11/19/2014,19,11,3,Wed,260,258.5827049,246.1314089,130,7402
11/20/2014,20,11,4,Thur,267,248.5171043,246.2917766,132,7414
11/21/2014,21,11,5,Fri,356,246.6101439,246.317964,135,7513
11/24/2014,24,11,1,Mon,260,239.7067251,245.7570651,127,7633
11/25/2014,25,11,2,Tue,245,228.5634154,244.8987839,129,7096
11/26/2014,26,11,3,Wed,284,259.6464601,245.705475,122,7696
11/28/2014,28,11,5,Fri,358,238.9993112,245.2728972,114,5935
11/29/2014,29,11,6,Sat,67,231.7714675,245.1118511,50,1350
12/1/2014,1,12,1,Mon,318,230.5038039,230.5038039,122,7821
12/2/2014,2,12,2,Tue,295,251.6426178,240.725533,126,7486
12/3/2014,3,12,3,Wed,328,251.665993,244.5212028,127,7331
12/4/2014,4,12,4,Thur,284,241.8015102,243.8889247,127,8244
12/5/2014,5,12,5,Fri,337,255.2533105,246.3482717,128,7511
12/8/2014,8,12,1,Mon,250,273.5326412,251.4186471,124,7400
12/9/2014,9,12,2,Tue,240,256.2773957,251.9855405,117,7305
12/10/2014,10,12,3,Wed,267,261.1403227,253.0373162,126,7372
12/11/2014,11,12,4,Thur,274,280.1898885,255.8822699,122,7326
12/12/2014,12,12,5,Fri,334,270.1137152,257.5002526,125,7501
12/15/2014,15,12,1,Mon,276,237.6926853,254.8374574,122,7346
12/16/2014,16,12,2,Tue,226,245.9970402,254.2721552,127,7167
12/17/2014,17,12,3,Wed,253,261.5654998,254.7598029,121,7229
12/18/2014,18,12,4,Thur,224,275.2957947,255.9113056,123,7222
12/19/2014,19,12,5,Fri,343,267.9788703,256.8643023,127,7306
12/22/2014,22,12,1,Mon,221,252.0034025,256.6276292,117,7356
12/23/2014,23,12,2,Tue,249,282.1681979,257.9457489,119,7213
12/24/2014,24,12,3,Wed,184,261.7278277,258.0850365,104,5683
12/26/2014,26,12,5,Fri,316,232.2816361,256.5422031,89,7109
12/29/2014,29,12,1,Mon,210,272.0953144,257.1860848,111,7533
12/30/2014,30,12,2,Tue,225,259.8965879,257.2922118,120,7474
12/31/2014,31,12,3,Wed,270,252.4593317,257.0759467,111,6959
